Year,Bitcoin Price,Bitcoin Balance,Fiat Balance,Bitcoin Added,House,Stack/House,Annual Expenses,Fiat MTHLY Exp,Bitcoin Expenses,BTC MTHLY Exp,Stack/Expenses,50% LTV 5% collateral Loan,50% LTV 10% Collateral Loan,50% LTV 15% Collateral Loan,50% LTV 20% Collateral Loan,,,,,,,,
2125,"$27,829,172,986,282,100.00",3.43458946,"$95,581,784,219,201,200.00",0.00000000,"$39,450,377.35",242283574024.61%,"$15,780,150.94","$1,315,012.58",0.00000000,0.00000000,605708935061.51%,"$2,389,544,605,480,030.00","$4,779,089,210,960,060.00","$7,168,633,816,440,090.00","$9,558,178,421,920,120.00",,,,,,,,
2126,"$36,177,924,882,166,700.00",3.43458946,"$124,256,319,484,962,000.00",0.00000000,"$41,422,896.22",299970139268.56%,"$16,569,158.49","$1,380,763.21",0.00000000,0.00000000,749925348171.40%,"$3,106,407,987,124,040.00","$6,212,815,974,248,080.00","$9,319,223,961,372,120.00","$12,425,631,948,496,200.00",,,,,,,,
2127,"$47,031,302,346,816,800.00",3.43458946,"$161,533,215,330,450,000.00",0.00000000,"$43,494,041.03",371391600999.17%,"$17,397,616.41","$1,449,801.37",0.00000000,0.00000000,928479002497.92%,"$4,038,330,383,261,250.00","$8,076,660,766,522,500.00","$12,114,991,149,783,800.00","$16,153,321,533,045,000.00",,,,,,,,
2128,"$61,140,693,050,861,800.00",3.43458946,"$209,993,179,929,585,000.00",0.00000000,"$45,668,743.08",459818172665.64%,"$18,267,497.23","$1,522,291.44",0.00000000,0.00000000,1149545431664.09%,"$5,249,829,498,239,630.00","$10,499,658,996,479,300.00","$15,749,488,494,718,900.00","$20,999,317,992,958,500.00",,,,,,,,
2129,"$79,482,900,966,120,300.00",3.43458946,"$272,991,133,908,461,000.00",0.00000000,"$47,952,180.24",569298689966.98%,"$19,180,872.10","$1,598,406.01",0.00000000,0.00000000,1423246724917.45%,"$6,824,778,347,711,520.00","$13,649,556,695,423,000.00","$20,474,335,043,134,500.00","$27,299,113,390,846,100.00",,,,,,,,
2130,"$103,327,771,255,956,000.00",3.43458946,"$354,888,474,080,999,000.00",0.00000000,"$50,349,789.25",704845997101.97%,"$20,139,915.70","$1,678,326.31",0.00000000,0.00000000,1762114992754.94%,"$8,872,211,852,024,970.00","$17,744,423,704,049,900.00","$26,616,635,556,074,900.00","$35,488,847,408,099,900.00",,,,,,,,
2131,"$134,326,102,632,743,000.00",3.43458946,"$461,355,016,305,299,000.00",0.00000000,"$52,867,278.71",872666472602.45%,"$21,146,911.49","$1,762,242.62",0.00000000,0.00000000,2181666181506.11%,"$11,533,875,407,632,500.00","$23,067,750,815,264,900.00","$34,601,626,222,897,400.00","$46,135,501,630,529,900.00",,,,,,,,
2132,"$174,623,933,422,566,000.00",3.43458946,"$599,761,521,196,888,000.00",0.00000000,"$55,510,642.65",1080444204174.46%,"$22,204,257.06","$1,850,354.75",0.00000000,0.00000000,2701110510436.14%,"$14,994,038,029,922,200.00","$29,988,076,059,844,400.00","$44,982,114,089,766,600.00","$59,976,152,119,688,800.00",,,,,,,,
2133,"$227,011,113,449,336,000.00",3.43458946,"$779,689,977,555,955,000.00",0.00000000,"$58,286,174.78",1337692824215.99%,"$23,314,469.91","$1,942,872.49",0.00000000,0.00000000,3344232060539.98%,"$19,492,249,438,898,900.00","$38,984,498,877,797,700.00","$58,476,748,316,696,600.00","$77,968,997,755,595,500.00",,,,,,,,
2134,"$295,114,447,484,137,000.00",3.43458946,"$1,013,596,970,822,740,000.00",0.00000000,"$61,200,483.52",1656191115695.99%,"$24,480,193.41","$2,040,016.12",0.00000000,0.00000000,4140477789239.98%,"$25,339,924,270,568,500.00","$50,679,848,541,137,100.00","$76,019,772,811,705,600.00","$101,359,697,082,274,000.00",,,,,,,,
2135,"$383,648,781,729,378,000.00",3.43458946,"$1,317,676,062,069,560,000.00",0.00000000,"$64,260,507.70",2050522333718.85%,"$25,704,203.08","$2,142,016.92",0.00000000,0.00000000,5126305834297.12%,"$32,941,901,551,739,100.00","$65,883,803,103,478,200.00","$98,825,704,655,217,300.00","$131,767,606,206,956,000.00",,,,,,,,
2136,"$498,743,416,248,192,000.00",3.43458946,"$1,712,978,880,690,430,000.00",0.00000000,"$67,473,533.08",2538741936985.24%,"$26,989,413.23","$2,249,117.77",0.00000000,0.00000000,6346854842463.10%,"$42,824,472,017,260,800.00","$85,648,944,034,521,600.00","$128,473,416,051,782,000.00","$171,297,888,069,043,000.00",,,,,,,,
2137,"$648,366,441,122,649,000.00",3.43458946,"$2,226,872,544,897,560,000.00",0.00000000,"$70,847,209.73",3143204302934.10%,"$28,338,883.89","$2,361,573.66",0.00000000,0.00000000,7858010757335.26%,"$55,671,813,622,439,100.00","$111,343,627,244,878,000.00","$167,015,440,867,317,000.00","$222,687,254,489,756,000.00",,,,,,,,
2138,"$842,876,373,459,444,000.00",3.43458946,"$2,894,934,308,366,830,000.00",0.00000000,"$74,389,570.22",3891586279823.17%,"$29,755,828.09","$2,479,652.34",0.00000000,0.00000000,9728965699557.94%,"$72,373,357,709,170,800.00","$144,746,715,418,342,000.00","$217,120,073,127,512,000.00","$289,493,430,836,683,000.00",,,,,,,,
2139,"$1,095,739,285,497,280,000.00",3.43458946,"$3,763,414,600,876,880,000.00",0.00000000,"$78,109,048.73",4818154441685.83%,"$31,243,619.49","$2,603,634.96",0.00000000,0.00000000,12045386104214.60%,"$94,085,365,021,922,000.00","$188,170,730,043,844,000.00","$282,256,095,065,766,000.00","$376,341,460,087,688,000.00",,,,,,,,
2140,"$1,424,461,071,146,460,000.00",3.43458946,"$4,892,438,981,139,950,000.00",0.00000000,"$82,014,501.17",5965334070658.65%,"$32,805,800.47","$2,733,816.71",0.00000000,0.00000000,14913335176646.60%,"$122,310,974,528,499,000.00","$244,621,949,056,997,000.00","$366,932,923,585,496,000.00","$489,243,898,113,995,000.00",,,,,,,,
2141,"$1,851,799,392,490,400,000.00",3.43458946,"$6,360,170,675,481,930,000.00",0.00000000,"$86,115,226.23",7385651706529.76%,"$34,446,090.49","$2,870,507.54",0.00000000,0.00000000,18464129266324.40%,"$159,004,266,887,048,000.00","$318,008,533,774,096,000.00","$477,012,800,661,145,000.00","$636,017,067,548,193,000.00",,,,,,,,
2142,"$2,407,339,210,237,520,000.00",3.43458946,"$8,268,221,878,126,510,000.00",0.00000000,"$90,420,987.54",9144140208084.46%,"$36,168,395.02","$3,014,032.92",0.00000000,0.00000000,22860350520211.20%,"$206,705,546,953,163,000.00","$413,411,093,906,325,000.00","$620,116,640,859,488,000.00","$826,822,187,812,651,000.00",,,,,,,,
2143,"$3,129,540,973,308,770,000.00",3.43458946,"$10,748,688,441,564,500,000.00",0.00000000,"$94,942,036.92",11321316448104.60%,"$37,976,814.77","$3,164,734.56",0.00000000,0.00000000,28303291120261.50%,"$268,717,211,039,112,000.00","$537,434,422,078,223,000.00","$806,151,633,117,334,000.00","$1,074,868,844,156,450,000.00",,,,,,,,
2144,"$4,068,403,265,301,410,000.00",3.43458946,"$13,973,294,974,033,800,000.00",0.00000000,"$99,689,138.76",14016867983367.60%,"$39,875,655.50","$3,322,971.29",0.00000000,0.00000000,35042169958418.90%,"$349,332,374,350,845,000.00","$698,664,748,701,690,000.00","$1,047,997,123,052,530,000.00","$1,397,329,497,403,380,000.00",,,,,,,,
2145,"$5,288,924,244,891,830,000.00",3.43458946,"$18,165,283,466,243,900,000.00",0.00000000,"$104,673,595.70",17354217503217.00%,"$41,869,438.28","$3,489,119.86",0.00000000,0.00000000,43385543758042.50%,"$454,132,086,656,098,000.00","$908,264,173,312,197,000.00","$1,362,396,259,968,300,000.00","$1,816,528,346,624,390,000.00",,,,,,,,
2146,"$6,875,601,518,359,380,000.00",3.43458946,"$23,614,868,506,117,100,000.00",0.00000000,"$109,907,275.49",21486174051602.00%,"$43,962,910.19","$3,663,575.85",0.00000000,0.00000000,53715435129005.00%,"$590,371,712,652,928,000.00","$1,180,743,425,305,860,000.00","$1,771,115,137,958,780,000.00","$2,361,486,850,611,710,000.00",,,,,,,,
2147,"$8,938,281,973,867,190,000.00",3.43458946,"$30,699,329,057,952,300,000.00",0.00000000,"$115,402,639.26",26601929778173.90%,"$46,161,055.70","$3,846,754.64",0.00000000,0.00000000,66504824445434.80%,"$767,483,226,448,806,000.00","$1,534,966,452,897,610,000.00","$2,302,449,679,346,420,000.00","$3,069,932,905,795,230,000.00",,,,,,,,
2148,"$11,619,766,566,027,400,000.00",3.43458946,"$39,909,127,775,337,900,000.00",0.00000000,"$121,172,771.22",32935722582501.00%,"$48,469,108.49","$4,039,092.37",0.00000000,0.00000000,82339306456252.60%,"$997,728,194,383,448,000.00","$1,995,456,388,766,900,000.00","$2,993,184,583,150,350,000.00","$3,990,912,777,533,790,000.00",,,,,,,,
2149,"$15,105,696,535,835,600,000.00",3.43458946,"$51,881,866,107,939,300,000.00",0.00000000,"$127,231,409.78",40777561292620.30%,"$50,892,563.91","$4,241,046.99",0.00000000,0.00000000,101943903231551.00%,"$1,297,046,652,698,480,000.00","$2,594,093,305,396,970,000.00","$3,891,139,958,095,450,000.00","$5,188,186,610,793,930,000.00",,,,,,,,
2150,"$19,637,405,496,586,200,000.00",3.43458946,"$67,446,425,940,321,100,000.00",0.00000000,"$133,592,980.27",50486504457529.90%,"$53,437,192.11","$4,453,099.34",0.00000000,0.00000000,126216261143825.00%,"$1,686,160,648,508,030,000.00","$3,372,321,297,016,060,000.00","$5,058,481,945,524,080,000.00","$6,744,642,594,032,110,000.00",,,,,,,,
2151,"$25,528,627,145,562,100,000.00",3.43458946,"$87,680,353,722,417,500,000.00",,,,"$56,109,051.71",,,0.00000000,,,"$4,384,017,686,120,870,000.00","$6,576,026,529,181,310,000.00","$8,768,035,372,241,750,000.00",,,,,,,,
